Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Start Date,Start Year,Completion Date (B1),Completion Date,Duration,Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
018-000003203,946,18,Department of Education,Common Origination and Disbursement (COD),1613,,New Award Year Setup Release 12.0,2012-03-26T00:00:00Z,2012,2013-03-22T00:00:00Z,2013,361,,,6.466,-84,-23.27,0,0,6.466,6.466,2012-06-26T00:00:00Z,1970-01-01T15:56:38Z,3
018-000003203,946,18,Department of Education,Common Origination and Disbursement (COD),1614,,New Award Year Release 12.0 System Enhancements,2012-04-04T00:00:00Z,2012,2013-05-26T00:00:00Z,2013,417,,,2.5,0,0,0,0,2.5,2.5,2012-06-26T00:00:00Z,1970-01-01T15:56:38Z,4
018-000003203,946,18,Department of Education,Common Origination and Disbursement (COD),1615,,COD Start Up Costs,2012-06-15T00:00:00Z,2012,2012-09-30T00:00:00Z,2012,107,,,5,0,0,0,0,5,5,2011-09-23T00:00:00Z,1970-01-01T13:05:11Z,5
018-000003203,946,18,Department of Education,Common Origination and Disbursement (COD),1616,,Procurement Licenses,2012-01-03T00:00:00Z,2012,2012-08-30T00:00:00Z,2012,239,,,9.5,-1,-0.55,0,0,9.5,9.5,2011-09-23T00:00:00Z,1970-01-01T13:05:11Z,6
018-000000030,1064,18,Department of Education,Security Operations Center (SOC),2856,,SIEM implementation,2012-06-15T00:00:00Z,2012,2012-10-30T00:00:00Z,2012,137,,,0.25,0,0,0,0,0.25,0.25,2011-11-28T00:00:00Z,1970-01-01T12:49:29Z,SOC-A1
018-000000030,1064,18,Department of Education,Security Operations Center (SOC),2857,,Research and Development Environment,2012-01-04T00:00:00Z,2012,2012-01-08T00:00:00Z,2012,4,,,0.1,-30,-24.79,-0.2,-200,0.1,0.3,2012-04-29T00:00:00Z,1970-01-01T05:38:47Z,SOC-B1
018-000000030,1064,18,Department of Education,Security Operations Center (SOC),2858,,External Data Feeds,2012-01-08T00:00:00Z,2012,2013-01-16T00:00:00Z,2013,374,,,0.65,0,0,0,0,0.65,0.65,2011-11-28T00:00:00Z,1970-01-01T12:49:30Z,SOC-C1
018-000000029,1066,18,Department of Education,Trusted Internet Connection (TIC),2859,,COD Contractor Support Requirements,2012-07-16T00:00:00Z,2012,2012-08-31T00:00:00Z,2012,46,,,0.1,-137,-297.83,0,0,0.1,0.1,2012-04-29T00:00:00Z,1970-01-01T05:38:47Z,TIC-A1
018-000000029,1066,18,Department of Education,Trusted Internet Connection (TIC),2860,,COD TIC Implementation,2012-04-09T00:00:00Z,2012,2013-04-30T00:00:00Z,2013,386,,,1.4,-153,-64.29,0.965,68.93,1.4,0.435,2012-04-29T00:00:00Z,1970-01-01T05:38:47Z,TIC-B1
018-000006011,1083,18,Department of Education,Information Assurance Enhancement/Cyber Watch,1353,,IA Enhancement /Cyber Watch,2011-03-10T00:00:00Z,2011,2017-09-29T00:00:00Z,2017,2394,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,23.237,0,0,0,0,1.127,1.127,2012-08-21T00:00:00Z,1970-01-01T16:55:27Z,1
019-000000122,559,19,Department of Energy,CF iManage,1413,,STRIPES:  Labor Intensive Processes,2011-03-10T00:00:00Z,2011,2012-02-29T00:00:00Z,2012,356,2012-02-29T00:00:00Z,2011-10-28T00:00:00Z,0.0035,124,83.22,-7.7E-5,-2.2,0.0035,0.003577,2012-02-23T00:00:00Z,1970-01-01T13:48:24Z,A200000000
019-000000122,559,19,Department of Energy,CF iManage,1414,,STRIPES:  Integration with the Office of Science Portfolio Analysis Management System (PAMS),2012-01-02T00:00:00Z,2012,2012-08-30T00:00:00Z,2012,240,2012-08-30T00:00:00Z,2012-08-30T00:00:00Z,0.0040,-1,-0.47,0,0,0.0040,0.0040,2012-04-27T00:00:00Z,1970-01-01T05:54:44Z,A300000000
019-000000122,559,19,Department of Energy,CF iManage,1415,,STRIPES Upgrade,2012-07-27T00:00:00Z,2012,2012-09-28T00:00:00Z,2012,63,,,0.0080,0,0,0,0,0.0080,0.0080,2011-09-23T00:00:00Z,1970-01-01T09:19:03Z,A400000000
019-000000122,559,19,Department of Energy,CF iManage,1416,,CHRIS: PeopleSoft 9.1 Transition,2011-03-10T00:00:00Z,2011,2012-02-05T00:00:00Z,2012,332,2012-02-05T00:00:00Z,2012-02-05T00:00:00Z,0.6286,0,0,0,0,0.6286,0.6286,2012-05-30T00:00:00Z,1970-01-01T09:09:00Z,B100000000
019-000000122,559,19,Department of Energy,CF iManage,1417,,Q1/Q2 Spinout - IDW/iPortal,2011-01-10T00:00:00Z,2011,2012-03-31T00:00:00Z,2012,445,2012-03-31T00:00:00Z,2012-03-30T00:00:00Z,0.181,1,0.55,0.0105,5.8,0.181,0.1705,2012-04-27T00:00:00Z,1970-01-01T05:54:44Z,C100000000
019-000000122,559,19,Department of Energy,CF iManage,1418,,Q3/Q4 Spinout - IDW/iPortal,2012-01-04T00:00:00Z,2012,2012-09-30T00:00:00Z,2012,269,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.141,0,0,0.0020,1.42,0.141,0.139,2012-08-28T00:00:00Z,1970-01-01T09:46:38Z,C200000000
019-000000122,559,19,Department of Energy,CF iManage,1419,,Data Mart Usability,2011-11-15T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,319,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.24,0,0,0,0,0.24,0.24,2012-07-30T00:00:00Z,1970-01-01T10:49:42Z,C300000000
019-000000122,559,19,Department of Energy,CF iManage,1420,,11g Upgrade,2012-01-01T00:00:00Z,2012,2012-06-30T00:00:00Z,2012,180,2012-06-30T00:00:00Z,2012-06-30T00:00:00Z,0.08,0,0,0.0215,26.88,0.08,0.0585,2012-07-30T00:00:00Z,1970-01-01T10:49:42Z,C400000000
019-000000122,559,19,Department of Energy,CF iManage,2921,,FY 2012 SW License costs,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2.981459,0,0,-0.004068,-0.14,2.981,2.985068,2012-05-30T00:00:00Z,1970-01-01T09:09:00Z,D100000000
019-000001183,560,19,Department of Energy,"Consolidated Infrastructure, Office Automation, and Telecommunications Program",1731,,Data Center Modernizations,2012-01-01T00:00:00Z,2012,2012-12-31T00:00:00Z,2012,365,2012-12-31T00:00:00Z,2012-12-31T00:00:00Z,1.5,0,0,0,0,1.5,1.5,2012-05-30T00:00:00Z,1970-01-01T09:09:00Z,DCM
019-000001183,560,19,Department of Energy,"Consolidated Infrastructure, Office Automation, and Telecommunications Program",1734,,"FY2012 DME Milestones, FY2012 DME Milestone Activities",2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,44.690208,0,0,0,0,44.690208,44.690208,2011-10-28T00:00:00Z,1970-01-01T07:19:08Z,FY2012 DME
019-000001183,560,19,Department of Energy,"Consolidated Infrastructure, Office Automation, and Telecommunications Program",1735,,"FY2012 SS Milestones, FY2012 SS Milestone Activities",2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,912.329792,0,0,0,0,912.329792,912.329792,2011-10-28T00:00:00Z,1970-01-01T07:19:08Z,FY2012 SS
019-000001183,560,19,Department of Energy,"Consolidated Infrastructure, Office Automation, and Telecommunications Program",1736,,ITSM to the Cloud,2012-01-01T00:00:00Z,2012,2012-09-30T00:00:00Z,2012,272,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.65,0,0,0,0,0.65,0.65,2012-04-26T00:00:00Z,1970-01-01T12:30:41Z,ITSM
019-000001183,560,19,Department of Energy,"Consolidated Infrastructure, Office Automation, and Telecommunications Program",1737,,Unified Communications and Collaboration (UCC),2011-01-07T00:00:00Z,2011,2012-10-15T00:00:00Z,2012,646,2012-10-15T00:00:00Z,2012-10-15T00:00:00Z,1.064,0,0,-0.007729,-0.73,1.064,1.071729,2012-07-30T00:00:00Z,1970-01-01T10:01:26Z,UCC
019-000001183,560,19,Department of Energy,"Consolidated Infrastructure, Office Automation, and Telecommunications Program",2925,,Virtual Desktop Infrastructure,2011-12-31T00:00:00Z,2011,2012-04-30T00:00:00Z,2012,120,2012-04-30T00:00:00Z,2012-04-30T00:00:00Z,0.805,0,0,0,0,0.805,0.805,2012-06-28T00:00:00Z,1970-01-01T10:11:29Z,VDI
019-000000153,562,19,Department of Energy,EE State Grant Administration,2738,,PAGE Maintenance (FY 2012),2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.36098,0,0,0,0,0.360978,0.360978,2012-07-30T00:00:00Z,1970-01-01T10:01:29Z,100
019-000000208,564,19,Department of Energy,"EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)",1435,,Dashboard,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.257,0,0,0,0,0.257,0.257,2012-02-27T00:00:00Z,1970-01-01T07:44:34Z,Dash
019-000000208,564,19,Department of Energy,"EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)",1436,,PEM,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.855,0,0,0,0,0.855,0.855,2012-02-27T00:00:00Z,1970-01-01T07:44:34Z,PEM
019-000000208,564,19,Department of Energy,"EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)",1438,,Upgrades,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1.163,0,0,0,0,1.163,1.163,2012-02-27T00:00:00Z,1970-01-01T07:44:34Z,UP
019-000000208,564,19,Department of Energy,"EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)",1439,,Web Application Refresh,2011-01-10T00:00:00Z,2011,2012-06-30T00:00:00Z,2012,536,2012-06-30T00:00:00Z,2012-06-30T00:00:00Z,0.171,-62,-22.71,0,0,0.171,0.171,2012-02-27T00:00:00Z,1970-01-01T07:44:34Z,WEB
019-000000575,571,19,Department of Energy,NNSA ASC LLNL Sequoia Platform,1409,,NNSA ASC LLNL Sequoia Platform,2009-09-01T00:00:00Z,2009,2012-11-30T00:00:00Z,2012,1186,,,217.331605,0,0,0.003536,0,178.74352,178.739984,2012-08-28T00:00:00Z,1970-01-01T10:23:20Z,Sequoia
019-000000577,573,19,Department of Energy,NNSA Enterprise Secure Network (ESN),1411,,FY12 NNSA Network Vision,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,14.2664,0,0,0,0,14.2664,14.2664,2012-07-30T00:00:00Z,1970-01-01T10:49:50Z,FY12 2NV
019-000000731,575,19,Department of Energy,NNSA Y12 ERP,1408,,FY2012 Steady State System Support,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,8.344,0,0,0,0,8.344,8.344,2012-05-30T00:00:00Z,1970-01-01T09:41:12Z,VP982 1201
019-000000971,579,19,Department of Energy,RL - BMS Site Wide Business Management System,2923,,FY2012 HCM PeopleSoft People tools upgrade,2011-02-01T00:00:00Z,2011,2012-03-30T00:00:00Z,2012,422,2012-03-30T00:00:00Z,2012-01-26T00:00:00Z,0.05,64,72.73,0.02,40,0.05,0.03,2012-03-30T00:00:00Z,1970-01-01T07:34:57Z,10
019-000000976,580,19,Department of Energy,RL - Records Management,1441,,Electronic medical Record (EMR) system implementation,2010-01-10T00:00:00Z,2010,2012-09-30T00:00:00Z,2012,993,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.125,0,0,0,0,0.125,0.125,2012-02-24T00:00:00Z,1970-01-01T10:32:29Z,1
019-000000976,580,19,Department of Energy,RL - Records Management,1442,,Maintnance of systems used for medical records,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.0336,0,0,0,0,0.0336,0.0336,2012-02-24T00:00:00Z,1970-01-01T10:32:29Z,2
019-000001122,583,19,Department of Energy,"SR Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business and Administrative (CBA) Systems)",1446,,Maintenance and Production Support - FY 2012,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,9.538389,0,0,-0.198706,-2.08,9.538388,9.737094,2012-07-31T00:00:00Z,1970-01-01T11:28:33Z,8932040105
019-000001122,583,19,Department of Energy,"SR Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business and Administrative (CBA) Systems)",1448,,Apply Oracle security Patches and COTs application patches - FY 2012,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.06,0,0,-8.0E-6,-0.01,0.06,0.060008,2012-07-31T00:00:00Z,1970-01-01T11:28:33Z,893206
019-000001131,584,19,Department of Energy,SR Mission Support Systems,1449,,Maintenance and Production Support-FY12 Contractor,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,32.389,0,0,1.52775,4.72,32.38812,30.86037,2012-06-29T00:00:00Z,1970-01-01T07:30:03Z,CY-12-1
019-000001131,584,19,Department of Energy,SR Mission Support Systems,1450,,Maintenance and Production Support-FY12-Govt,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.0688,0,0,0,0,0.0688,0.0688,2012-05-30T00:00:00Z,1970-01-01T09:35:06Z,CY-12-2
019-000001131,584,19,Department of Education,SR Mission Support Systems,1451,,Maintenance and Production Support-FY12 Facilities Support,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,4.70953,0,0,0.326224,6.93,4.70953,4.383306,2012-05-30T00:00:00Z,1970-01-01T09:35:06Z,CY-12-3
019-000001131,584,19,Department of Energy,SR Mission Support Systems,1452,,Asset Suite Work Package Upgrade,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.208,0,0,0.004272,2.05,0.208,0.203728,2012-05-30T00:00:00Z,1970-01-01T09:35:06Z,CY-12-4
019-000001144,585,19,Department of Energy,WAPA CSO Cost Recovery BIDSS II,1433,,BIDSS II R12 Upgrade,2011-02-06T00:00:00Z,2011,2013-05-31T00:00:00Z,2013,844,,,3.466,0,0,-0.133,-3.84,3.466,3.599,2012-06-28T00:00:00Z,1970-01-01T10:11:29Z,BIDSSIIR12
019-000000570,860,19,Department of Energy,NETL Simulation-Based Engineering User Center (SBEUC),1431,,SBEUC,2010-10-09T00:00:00Z,2010,2014-11-14T00:00:00Z,2014,1497,2012-03-08T00:00:00Z,2012-08-22T00:00:00Z,23.263029,-19,-6.91,0.045826,0.27,16.966566,16.92074,2012-08-28T00:00:00Z,1970-01-01T09:58:52Z,570
019-000000573,861,19,Department of Energy,NNSA ASC ACES Cielo Platform,1404,,DM-17,2012-01-01T00:00:00Z,2012,2012-12-31T00:00:00Z,2012,365,,,1.8,0,0,0,0,1.8,1.8,2012-08-28T00:00:00Z,1970-01-01T10:23:20Z,DM17
019-000000573,861,19,Department of Energy,NNSA ASC ACES Cielo Platform,1406,,FY12 Gov FTE,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.05,0,0,0,0,0.05,0.05,2012-08-28T00:00:00Z,1970-01-01T10:23:20Z,FY12FTE
019-000000134,1075,19,Department of Energy,"Identity, Credential, and Access Management (ICAM)",1423,,EIA ICAM Implementation,2012-01-01T00:00:00Z,2012,2012-01-03T00:00:00Z,2012,2,2012-01-03T00:00:00Z,2012-01-03T00:00:00Z,0.0041,0,0,0,0,0.0041,0.0041,2012-03-29T00:00:00Z,1970-01-01T07:00:07Z,EI
019-000000134,1075,19,Department of Energy,"Identity, Credential, and Access Management (ICAM)",1424,,HQ-Infrastructure,2011-01-10T00:00:00Z,2011,2013-11-30T00:00:00Z,2013,1055,,,1.47448,0,0,0,0,1.47448,1.47448,2012-04-27T00:00:00Z,1970-01-01T05:54:48Z,HQ-Infra
019-000000134,1075,19,Department of Energy,"Identity, Credential, and Access Management (ICAM)",1425,,DOECOE LACS implementation,2011-03-10T00:00:00Z,2011,2013-09-30T00:00:00Z,2013,934,,,0.65507,0,0,0,0,0.65507,0.65507,2012-04-30T00:00:00Z,1970-01-01T12:33:01Z,HQ-LACS
019-000000134,1075,19,Department of Energy,"Identity, Credential, and Access Management (ICAM)",1426,,HQ-PKI,2011-03-10T00:00:00Z,2011,2013-09-27T00:00:00Z,2013,931,,,0.2,0,0,0,0,0.2,0.2,2012-04-27T00:00:00Z,1970-01-01T05:54:48Z,HQ-PKI
019-000000134,1075,19,Department of Energy,"Identity, Credential, and Access Management (ICAM)",1427,,Back End Infrastructure,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.248,0,0,0,0,0.248,0.248,2012-08-28T00:00:00Z,1970-01-01T09:27:25Z,SC-1
019-000000134,1075,19,Department of Energy,"Identity, Credential, and Access Management (ICAM)",1428,,SC Card Issuance and Maintenance,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.05,0,0,0.001346,2.69,0.05,0.048654,2012-08-28T00:00:00Z,1970-01-01T09:27:25Z,SC-2
019-000000134,1075,19,Department of Energy,"Identity, Credential, and Access Management (ICAM)",1429,,SC Logical Access Controls Systems,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.33,0,0,0,0,0.33,0.33,2012-08-28T00:00:00Z,1970-01-01T09:27:25Z,SC-3
019-000000134,1075,19,Department of Energy,"Identity, Credential, and Access Management (ICAM)",1430,,SC Physical Security Access Controls Systems,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.02,0,0,0,0,0.02,0.02,2012-07-30T00:00:00Z,1970-01-01T10:01:32Z,SC-4
020-000016005,395,20,Environmental Protection Agency,CDX - Central Data Exchange,1543,,CDX FY2012 Planning,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1.72,0,0,0.2484,16.24,1.53,1.2816,2012-08-28T00:00:00Z,1970-01-01T12:27:41Z,16005A
020-000016005,395,20,Environmental Protection Agency,CDX - Central Data Exchange,1544,,CDX FY2012 Development,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,,,6.69,0,0,0.6354,10.65,5.965,5.3296,2012-08-28T00:00:00Z,1970-01-01T12:27:41Z,16005B
020-000016026,398,20,Environmental Protection Agency,EPASS - Environmental Protection Agency Personnel Access and Security System,1970,,Project Management,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.2218,0,0,0,0,0.2218,0.2218,2012-05-29T00:00:00Z,1970-01-01T12:55:54Z,16026-A
020-000016026,398,20,Environmental Protection Agency,EPASS - Environmental Protection Agency Personnel Access and Security System,1971,,Compliance and Program Reporting,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.1546,0,0,0,0,0.1546,0.1546,2012-05-29T00:00:00Z,1970-01-01T12:55:54Z,16026-B
020-000016026,398,20,Environmental Protection Agency,EPASS - Environmental Protection Agency Personnel Access and Security System,1972,,Interoperability and Intraoperability Requirements,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.1546,0,0,0,0,0.1546,0.1546,2012-05-29T00:00:00Z,1970-01-01T12:55:54Z,16026-C
020-000016026,398,20,Environmental Protection Agency,EPASS - Environmental Protection Agency Personnel Access and Security System,1973,,Acquisition Strategy and Management,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.181,0,0,0,0,0.181,0.181,2012-05-29T00:00:00Z,1970-01-01T12:55:54Z,16026-D
020-000016026,398,20,Environmental Protection Agency,EPASS - Environmental Protection Agency Personnel Access and Security System,1974,,Module and System Development and Implementation,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2.0681,0,0,0,0,2.0681,2.0681,2012-05-29T00:00:00Z,1970-01-01T12:55:54Z,16026-E
020-000016026,398,20,Environmental Protection Agency,EPASS - Environmental Protection Agency Personnel Access and Security System,1975,,System Integration,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.1546,0,0,0,0,0.1546,0.1546,2012-05-29T00:00:00Z,1970-01-01T12:55:54Z,16026-F
020-000016026,398,20,Environmental Protection Agency,EPASS - Environmental Protection Agency Personnel Access and Security System,1976,,Business Processes and Procedures,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.1546,0,0,0,0,0.1546,0.1546,2012-05-29T00:00:00Z,1970-01-01T12:55:54Z,16026-G
020-000016026,398,20,Environmental Protection Agency,EPASS - Environmental Protection Agency Personnel Access and Security System,1977,,System Level Testing,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.1546,0,0,0,0,0.1546,0.1546,2012-05-29T00:00:00Z,1970-01-01T12:55:54Z,16026-H
020-000016026,398,20,Environmental Protection Agency,EPASS - Environmental Protection Agency Personnel Access and Security System,1978,,System Level Training,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.1546,0,0,0,0,0.1546,0.1546,2012-05-29T00:00:00Z,1970-01-01T12:55:54Z,16026-I
020-000016026,398,20,Environmental Protection Agency,EPASS - Environmental Protection Agency Personnel Access and Security System,1979,,Privacy and Security,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.1342,0,0,0,0,0.1342,0.1342,2012-05-29T00:00:00Z,1970-01-01T12:55:54Z,16026-J
020-000016026,398,20,Environmental Protection Agency,EPASS - Environmental Protection Agency Personnel Access and Security System,1980,,Communications and Outreach,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.1546,0,0,0,0,0.1546,0.1546,2012-05-29T00:00:00Z,1970-01-01T12:55:54Z,16026-K
020-000016026,398,20,Environmental Protection Agency,EPASS - Environmental Protection Agency Personnel Access and Security System,1981,,Maintenance,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.940374,0,0,0,0,0.940374,0.940374,2012-08-28T00:00:00Z,1970-01-01T12:27:43Z,16026-L
020-000016240,400,20,Environmental Protection Agency,ECMS - Enterprise Content Management System,1546,,New ECMS Applications,2010-12-13T00:00:00Z,2010,2016-09-30T00:00:00Z,2016,2117,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2.33,0,0,0.284,27.98,1.015,0.731,2012-07-31T00:00:00Z,1970-01-01T09:08:31Z,16240-A
020-000010126,401,20,Environmental Protection Agency,FinRS - Financial Replacement System,837,,Core Financial System,2008-01-10T00:00:00Z,2008,2012-09-30T00:00:00Z,2012,1724,2012-04-30T00:00:00Z,2012-08-31T00:00:00Z,92.02,-123,-45.05,0.261,2.98,8.76,8.499,2012-08-28T00:00:00Z,1970-01-01T12:27:43Z,10126A
020-000010126,401,20,Environmental Protection Agency,FinRS - Financial Replacement System,2871,,Time & Attendance Payroll Migration,2011-01-09T00:00:00Z,2011,2014-09-15T00:00:00Z,2014,1344,,,28.88,-38,-7.8,0,0,10.338,10.338,2012-08-28T00:00:00Z,1970-01-01T12:27:43Z,10126E
020-000015010,402,20,Environmental Protection Agency,ICIS - Integrated Compliance Information System,1549,,Phase II: ICIS-NPDES,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,6.913,0,0,-0.015,-0.22,6.913,6.928,2012-07-31T00:00:00Z,1970-01-01T09:08:42Z,15010-B
020-000015010,402,20,Environmental Protection Agency,ICIS - Integrated Compliance Information System,1550,,"Phase III: ICIS-CAA, AFS Modernization to include CAA",2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1.099,0,0,0,0,1.099,1.099,2012-07-31T00:00:00Z,1970-01-01T09:08:42Z,15010-C
020-000015010,402,20,Environmental Protection Agency,ICIS - Integrated Compliance Information System,1551,,Electronic Notice of Intent (eNOI),2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0.953,0,0,-0.063,-6.61,0.953,1.016,2012-07-31T00:00:00Z,1970-01-01T09:08:42Z,15010-D
020-000015010,402,20,Environmental Protection Agency,ICIS - Integrated Compliance Information System,1552,,Grant Funding,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1.2,0,0,0,0,1.2,1.2,2012-07-31T00:00:00Z,1970-01-01T09:08:42Z,15010-E
020-000015010,402,20,Environmental Protection Agency,ICIS - Integrated Compliance Information System,1553,,Working Capital Fund,2011-01-10T00:00:00Z,2011,2012-09-30T00:00:00Z,2012,628,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,1.671,0,0,0,0,0.503,0.503,2012-07-31T00:00:00Z,1970-01-01T09:08:42Z,15010-F
020-000013015,412,20,Environmental Protection Agency,SEMS - Superfund Enterprise Management System,1671,,SEMS-Support,2011-06-14T00:00:00Z,2011,2013-09-30T00:00:00Z,2013,839,,,4.376594,0,0,-0.196772,-8.53,2.307025,2.503797,2012-08-28T00:00:00Z,1970-01-01T12:27:46Z,13015-A
020-000013015,412,20,Environmental Protection Agency,SEMS - Superfund Enterprise Management System,1672,,NCC Support (IT Infrastructure),2011-01-10T00:00:00Z,2011,2013-09-30T00:00:00Z,2013,993,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,6.914,0,0,0,0,2.822001,2.822001,2011-01-11T00:00:00Z,1970-01-01T04:57:53Z,13015-B
